Account,Display Name,Example Series Names,Pattern Types Matched,Occurrences,Distinct Posts
north2shore,North2Shore Festival,"HOT MULLIGAN, JOYCE MANOR, SATURDAYS AT YOUR PLACE, KOYO AT STONE PONY SUMMER STAGE; NORTH TO SHORE FESTIVAL; HOT MULLIGAN WITH JOYCE MANOR, SATURDAYS AT YOUR PLACE & KOYO; GARDEN STATE LIVE SERIES; THE REACTIVATION SERIES","day-of-week plural, recurrence keyword, repeated branded name",868,63
atlanticcitypublicarts,Atlantic City Arts Foundation,OUTSIDE LINES; Closing Service at The Ministry of ARTeriors; Giving Tuesday; ACAF Giving Campaign; Closing Service,repeated branded name,864,33
xperiencenj,Xperience Kitchen & Cocktails,INDUSTRY MONDAYS; WORKOUT WEDNESDAYS; MOTHER'S DAY BRUNCH & DINNER PARTY; Thanksgiving Day at Xperience; Thanks Giving,"day-of-week plural, repeated branded name",855,44
montclaircenter,MONTCLAIR CENTER,MONTCLAIR MONDAYS; TOKYO TUESDAYS; WOMEN'S WEDNESDAYS; Church St Tree Lighting; Free 2-hour holiday parking,"day-of-week plural, repeated branded name",851,21
theroyceac,The Royce Social Hall,"FAME FRIDAYS PRESENTS: DASHIO; Thanksgiving Eve; Industry Night; Thanksgiving Eve games, drinks & good vibes; Shot O’ Clock Party","day-of-week plural, repeated branded name",825,59
wandering_with_mariam,Mariam 📍 NJ Food & Travel,Make your own floral arrangements; Giveaway for a staycation; Giveaway End Date; Price Lock Savings; Zwilling Warehouse Sale,repeated branded name,823,26
bloomfieldcenter,Bloomfield Center Alliance,LAVENDER NIGHTS; SUPER SMASH BROS TOURNAMENT; TRIVIA NIGHT; PERFORMANCE BY LOU AND JIMMY SABINI; HAPPY HOUR,"recurrence keyword, repeated branded name",814,46
blkeventsla,BLK Events LA™️,COSMIC LANDFILL EXHIBITION; IN THE MIX LIVE R&B SERIES; Teagen's Sunday Funday: An adult field day experience; The Best of Black LA Awards 2025 Nominations; The Best of Black LA Awards 2025 Final Round Voting,"recurrence keyword, repeated branded name",804,31
fakewillwright,Comedian Will Wright,COMEDY SHOW; HI-NELLA NJ SHOW; BMORE MD SHOW; UPCOMING SHOW; HI-NELLA SHOW,repeated branded name,800,49
shanghaijazznj,𝕊𝕙𝕒𝕟𝕘𝕙𝕒𝕚 𝕁𝕒𝕫𝕫 Restaurant & Bar,SARON CRENSHAW BAND; TUESDAY JAZZ SERIES; JAZZ TRIO SERIES W/JOHN BIANCULLI; DEEP GROOVE ORGAN TRIO; TUESDAY JAZZ TRIO SERIES W LEONIEKE,"recurrence keyword, repeated branded name",798,57
thevaultloungenj,Vault Rooftop Now Open ☀️,GIRLS LOVE THURSDAYS; GIRLS LOVE THURSDAYS W/ @DJNORIE; KARAOKE WEDNESDAYS; GIRLS LOVE THURSDAYS (EXTENDED LADY DRINK OFFER); THURSDAYS IN THE VAULT,"day-of-week plural, recurrence keyword, repeated branded name",797,68
marknitty_,Mark Nitty,"FEEL GOOD SUNDAYS PRO BOWL DAY PARTY; FEEL GOOD SUNDAYS: CLASSICS (80S, 90S & Y2K 2000S); SO CLASSIC FRIDAYS - 2ND YEAR CELEBRATION; FEEL GOOD SUNDAYS DAY PARTY; MARCH R&B MADNESS PARTY","day-of-week plural, repeated branded name",794,87
commacrazyevents,@CommaCrazy Events Page,COMMA CRAZY FRIDAYS; COMMA CRAZY FRIDAYS AT CLUB 111; “THE COLLECTIVE” Pop Up Brunch; THE COLLECTIVE Pop Up Brunch; I JUST WANNA BRUNCH,"day-of-week plural, recurrence keyword, repeated branded name",785,27
giulianaava,G🐐,YoungLA BF 30% OFF SALE; Young LA for Her Black Friday Sale; Black Friday Shopping; YoungLA Discount; Programs Discount,repeated branded name,771,20
newjerseywine,Garden State Wine Growers,Weekend in the Vines; New Year's Eve Celebration; Holiday Wine Trail Weekend; Winery Events; Visit Tomasello Winery's Hammonton vineyard or tasting rooms,repeated branded name,771,39
knightspubnj,Knights Public House,TWISTED TUESDAYS; SCARLET NIGHTS; SPICY THURSDAYS; Friendsgiving 2025; Taco Tuesday,"day-of-week plural, recurrence keyword, repeated branded name",770,22
homefrontnj,"HomeFront, Inc.",DIAPER CHALLENGE SEASON KICKOFF; Evelyn & friends Concert to benefit HomeFront families; Evelyn & friends concert; GivingTuesday Donation Match; Holiday Wishes Drive Donation Deadline,"recurrence keyword, repeated branded name",770,35
rnb_chill,R&B And Chill,R&B AND CHILL; R&B AT THE WATERFRONT; LIVE PERFORMANCE NIGHT; R&B AND CHILL SPRING FESTIVAL; R&B AND CHILL SPRING FESTIVAL 2026,"day-of-week plural, recurrence keyword, repeated branded name",760,82
simonervql,SIM SIMMA,"SUNSET SOIRÉE; A VERY MERRY MIXMAS; GATHER AND GIVE; 5th ANNUAL THANKSGIVING GIVEBACK; Shop, Deliver, & Prep",repeated branded name,753,33
philinthebrunch,Philip Taylor,REP YOUR FOUNDERS; REP YOUR FOUNDERS: A SPECIAL DIVINE 9 & FRIENDS DAY PARTY; REP YOUR FOUNDERS: DIVINE 9 & FRIENDS DAY PARTY; SPRING THINGS BRUNCH & DAY PARTY; MAHOGANY BRUNCH & DAY PARTY,repeated branded name,748,65
newarkcityparks,"Newark City Parks Foundation, Inc.",AFTERWORK WEDNESDAYS; Turkey Trot; Opening Day & the Annual Tree Lighting; Opening Day & Annual Tree Lighting; Afterwork Wednesdays On Ice,"day-of-week plural, repeated branded name",742,16
encorespeakeasy,𝔼ℕℂ𝕆ℝ𝔼 | Speakeasy Bar 🍸,JEFF ERTZ; Hogie Happy Hour; New Year’s Eve Celebration; Dinner Performance; Aviation Art Exhibition,"recurrence keyword, repeated branded name",737,19
newarkscene88,James St Patrick 🧱🏙,EMERGENCY COMMUNITY MEETING TO DISCUSS SOLUTIONS to SUPPORT VIOLENCE REDUCTION IN NEWARK; Lionsgate Newark film studio Construction Start; Lionsgate Newark Film Studio Construction Start; Burna Boy No Sign Of Weakness Tour; Code Blue Extended,"day-of-week plural, recurrence keyword, repeated branded name",735,39
hardrockhcac,Hard Rock Atlantic City,DIERKS BENTLEY; BAILEY ZIMMERMAN; KANE BROWN; KURO CHERRY BLOSSOM MENU; The Jersey Shore Roast,repeated branded name,733,22
artworkstrenton,Artworks Trenton,10x10 Red Dot Fundraising Exhibition Opening Reception and Sales; Artist Registration Deadline for 10x10 Red Dot Fundraising Exhibition; The Red Dot 10x10 Fundraising Exhibition; Artworks Membership Drive; Member Pre-Sale for 10x10 Red Dot Fundraising Exhibition,"recurrence keyword, repeated branded name",729,36
investnewark,Invest Newark,"WORLD CUP BUSINESS TRAINING SERIES -; Allettante Ribbon Cutting Ceremony; Navigating Business Taxation and Tax Strategies; Business Banking & Credit 101 | Small Business Financial Statements; Regional Economic Outlook for 2026 - Arts, Culture and the Economy","recurrence keyword, repeated branded name",727,51
goodeatsonlynyc,Bri | Food + Travel,"CLEAR SKY RESORT GRAND CANYON SEASON OPENING; CHEF'S BEST DINNER SERIES; CHEF'S BEST SERIES: JUPITER DINNER; ""Liquid"" themed Brunch; Budget Monday’s","recurrence keyword, repeated branded name",726,34
njwalkbabes,NJ Walk ‘N’ Run Club,Food Drive Donation for Hoboken Shelter; BAD BUNNY HIIT CLASS; Walk 'N' Run; Fall for Pilates Event; GIRLS ONLY WALK ‘N’ RUN,repeated branded name,721,45
laurellanesnj,Laurel Lanes,SPRING BREAK BUNDLE; Family Fun Party; Late Night Celebration; Private Event in Splitz City; Private Event in Splitz Luxury Suite,repeated branded name,720,52
parkerhousenj,The Parker House,OPENING DAY; LIVE ENTERTAINMENT; Holiday Goodies Event; Santa Visit; Holiday Shop Opening,repeated branded name,712,12
beyondtheboogiedance,Beyond The Boogie Dance,HIP HOP; BALLET; DANCE FITNESS; TAP; XTREME HIP HOP,"day-of-week plural, recurrence keyword, repeated branded name",707,55
friendsinhighplacesny,FRIENDS IN HIGH PLACES,BROOKLYN HOUSE MUSIC SERIES; FRIENDS IN HIGH PLACES: MUSIC SERIES; HOUSE MUSIC EVENT SERIES; HOUSE MUSIC EVENT SERIES - SPECIAL GUEST; HOUSE MUSIC FRIDAYS AT WESTLIGHT,"day-of-week plural, recurrence keyword",706,9
cherryslounge_bar_grill_,Cherry’s Lounge,LADIES NIGHT; HAPPY HOUR; TRIPPY TUESDAYS; TRIPPY TUESDAY; WINE DOWN WEDNESDAYS WITH JJ NUGGET,"day-of-week plural, recurrence keyword, repeated branded name",705,70
unicorn151,Unicorn151,JERSEY CLUB SOCCER JAM; WORLD CUP READY: BUS TRAINING SERIES; NEW JERSEY FAN FEST SERIES; WORLD CUP CORNER Activates!; VIP Brunch,"recurrence keyword, repeated branded name",702,46
3r.studios,3R,THE RHYTHM SERIES PREMIERE: MRS. MARY DOCUMENTARY; ORIGINAL SERIES; 3R ORIGINAL SERIES PRODUCTION; Lost Girls streaming; Local Filmmakers Top Christmas Picks,"recurrence keyword, repeated branded name",694,10
chilltown.us,℃HILLTOWN ℃OLLECTIVE,STRICTLY CLASSICS & THROWBACK MUSIC; Chilltown Collective 8 Year Anniversary + JCNightMarket 4th of July Fireworks Festival Afterparty; Jersey City Night Market; City of Jersey City 4th of July Street Festival; DJ BLES-SED,repeated branded name,690,7
riverrocknj,River Rock Restaurant & Marina,COUNTRY NIGHT; SOCIAL SATURDAYS WITH BRANDON ALEX; KID'S NIGHT (MONTHLY SERIES); LIVE MUSIC FRIDAYS; New Year's Eve 2026 Celebration,"day-of-week plural, recurrence keyword, repeated branded name",686,80
idontdoclubs,I DON’T DO CLUBS - Connecting Black Professionals + Creatives,MUST LOVE BEARDS DC; MUST LOVE BEARDS NJ; MUST LOVE BEARDS B'MORE; CINCO DE BEARDS BK; CINCO DE BEARDS DC,repeated branded name,682,67
brickcityjam,Brick City Jam,TUNEFUL TUESDAYS; BRICK CITY JAM - WORLD CUP CORNER; BRICK CITY JAM - ABINGTON WALLS; BRICK CITY JAM - ALL POINTS WEST; BRICK CITY JAM - RIVERFRONT PARK,"day-of-week plural, repeated branded name",681,30
poolafterdark,THE POOL AFTER DARK,Latin Industry Night; DJPereira's Birthday Concert; Under The Dome; Party with @rmthedj; NYE 2026,repeated branded name,680,29
atthetable2,At The Table 2 Delran,SIP & SING BRUNCH; Thanksgiving Closure; Reopen After Thanksgiving; Thanksgiving Eve; Limited Menu Opening,"day-of-week plural, repeated branded name",680,25
djsmooveski,𝐃𝐉 𝐒𝐌𝐎𝐎𝐕𝐄 𝐒𝐊𝐈,BIG BRONX BRUNCH; ITS A WHOLE NEW VIBE FRIDAYS - GRAND OPENING; ITS A WHOLE NEW VIBE FRIDAYS; DAY PARTY; REMIX FRIDAY,"day-of-week plural, recurrence keyword, repeated branded name",679,108
theshowboatac,Showboat Hotel & Event Center,SPRING BREAK; SIN AC: Naughty or Nice – Christmas Edition; All-You-Can-Eat Thanksgiving Feast; Seafood Buffet; Christmas Tree Lighting,"recurrence keyword, repeated branded name",676,44
undergroundvbc,The Underground,UNDERGROUND FRIDAYS WITH DJ FIORELLA; UNDERGROUND SATURDAYS; SATURDAYS live; Latin House Night; SWDJS_NJ,"day-of-week plural, repeated branded name",667,33
kellyclarksonshow,The Kelly Clarkson Show,SpongeBobMovie cast appearance; Appearance of Bobby Berk and Thomas Sadoski; Appearance of creators of new dance party craze; Daisy Ridley on Kelly!; Noah Schnapp on Kelly!,repeated branded name,666,50
lifeingardenstate,Life in the Garden State,Thanksgiving Break; Italian Restaurant; Black Friday Shopping; Olive Garden Italian Restaurant; A Jersey Christmas Movie,repeated branded name,664,17
ms.ladyleofilms,Samantha Thompson,URBAN FASHION RIOT: THE NYFW AFTERSHOCK; LADY LEO'S COOKOUT OLYMPICS; Christmas Toys & Coats Drive; Lady's First Festival; Urban Runway Riot Fashion Show Fest,"recurrence keyword, repeated branded name",664,75
thetrentonfarmersmarket,thetrentonfarmersmarket,TRENTON FARMERS MARKET; Trenton Farmers Market; Small Business Saturday at Trenton Farmers Market; Trenton Farmers Market Open; Market Street Taqueria Vendor,repeated branded name,660,68
newarkarts,Newark Arts,Newark Arts Festival: JOY; Newark Arts Festival 2025; Newark Arts Festival Info Session; Pure Joy: Artist Talk with Jaz Graf and Veda Kagabo; Newark Arts Festival,repeated branded name,658,20
tarzannndb,YOUNG SHINER 💫,A.I SUNDAYS; NOAH'S ON SUNDAYS; A.I. SUNDAYS; A.I. SUNDAYS X THE COCKTAIL CORNER; A.I. SUNDAYS ON CITY TOUR,"day-of-week plural, recurrence keyword, repeated branded name",651,34
skylarkdiner,Skylark Diner,WERK THAT MIC; Thanksgiving Day Celebration; Black Friday at Skylark; Black Friday Gift Card Sale; Black Friday Party,"day-of-week plural, repeated branded name",646,21
afrocaribbean.ac,,Afro-Caribbean Night; Afro-Caribbean Night - $10 ticket deadline; Afro-Caribbean Night - $20 ticket deadline; AFRO-CARIBBEAN NIGHT; Guestlist Deadline,repeated branded name,634,22
njdotcom,NJ.com,"""Drive Sober or Get Pulled Over"" campaign; Mountain Creek Opens Today; Skiing/Snowboarding; House Fire; True North Church Vineland Campus Opening",repeated branded name,616,31
newarkcultureclub,Newark Culture Club,BRICK CITY COMEDY REVUE; NIGHTS OF FIRE WITH THE IZM; JANÉ MIRANDA; WEEDING OUT THE STONED; WAX SESSIONS W/ GONZALO SILVA,"day-of-week plural, recurrence keyword, repeated branded name",615,70
brickcityrunclub,,SATURDAY MORNING MOVEMENT; BRICK CITY X HARLEM CYCLE; Turkey Trot; Brick City 30 Meetup; Brick City Run Club Meetup,repeated branded name,612,36
djjaykila,DJJAYKILA,SUPREME SATURDAYS; Thanksgiving Day Celebration; Tiki Mojito VIP Party; Take Over Thursday; DOMINGOS MILLONARIOS,"day-of-week plural, recurrence keyword, repeated branded name",604,68
official_noftv,NOFTV,NEWARK FILM WORKS INFO SESSION; NOFTV TRIVIA!; Newark Reel Stories Challenge: Film Submission; Newark Reel Stories Challenge Screening and Panel; Film Production Street Closures,repeated branded name,604,13
forthegirlswhovibe,"More Than a Vibe, It’s a Movement | Central & South Jersey",SIP & SNAP; GALENTINES; POUR IT & PASTE IT; CORE & CONNECT; WOMEN IN BUSINESS WEDNESDAYS: GIVE HER HER FLOWERS,"day-of-week plural, repeated branded name",594,58
bunkr.bunkr,bunkr.,3 YEAR ANNIVERSARY PARTY; HOUSE AT THE MUSEUM; VIDEO SESSION SEASON; DJ Set by DJ Curlynez; November Session,"recurrence keyword, repeated branded name",592,30
njjerkfest,New Jersey Jerk Festival,NJ JERK FESTIVAL; NEW JERSEY JERK FESTIVAL; NEW JERSEY JERK FESTIVAL 2026; NEW JERSEY JERK FEST 2026; NEW JERSEY JERK FEST,repeated branded name,587,66
litnationweekend,Malcolm Ellison,FRIDAY SKATING KICKOFF; SATURDAY ROOFTOP DAY PARTY; SATURDAY SKATING MAIN EVENT; SUNDAY SKATING FINISHING VIBES; FIRST SUNDAZE,repeated branded name,576,27
tnmpresents,tnmpresents,Showcase Sunday; After Party,repeated branded name,574,12
pier73nj,PIER 73 NJ,HAPPY HOUR; SEAFOOD FRIDAYS; SEAFOOD FRIDAYS - DRINK SPECIALS; FRIDAY NIGHTS AT THE PIER; 1/2 OFF WEDNESDAYS,"day-of-week plural, recurrence keyword, repeated branded name",568,28
lagar_restaurant,Lagar Restaurant,TAPAS TUESDAY; HALF OFF MARGARITAS EVERY WEDNESDAY; GIRL DINNER THURSDAYS; LIVE MUSIC NIGHTS; WEEKLY SPECIALS,"day-of-week plural, recurrence keyword, repeated branded name",566,55
caribbrewcafenwk,Caribbrew Cafe Newark,TROUBADOUR NIGHTS; R&B SUNDAYS; COLD BREW SEASON; Holiday Treat; Private Event,"day-of-week plural, recurrence keyword, repeated branded name",565,49
levelupinnyc,LEVELUP in NYC Newsletter,WEEKLY NEWSLETTER; LEVELUP IN NYC LIVE: ROMANCE & FINANCE EDITION; SWANKY BASH; LEVELUP in NYC Mixer; LEVELUP in NYC Holiday Soiree,"recurrence keyword, repeated branded name",561,67
royalcakescafe,Royal Cakes & Café,Thanksgiving Bundt Cakes; $40 BUNDT CAKES for Thanksgiving; Sweet Potato Cake; Strawberry Crunch Cake; Oreo Crunch Cake,repeated branded name,549,21
theainsworthhoboken,,Christmas Toy Drive; Santa at The Ainsworth; New Year's Eve Party; New Year's Eve 2026; Holiday Event,repeated branded name,549,11
moneta.kai,Moneta-Kai,MONETA-KAI'S OFFICIAL BIRTHDAY CELEBRATION & REFINED SERIES LAUNCH; CLUB 111 WEEKLY ENERGY; Birthday for NJ Soup; All Black Party; Jersey’s premier NYE experience,"recurrence keyword, repeated branded name",549,32
omegas_merchantville,Omega's Restaurant,HAPPY HOUR WEDNESDAYS; HAPPY HOUR; HAPPY HOUR WEDNESDAYS WITH LIVE MUSIC; LIVE MUSIC; HAPPY WEDNESDAYS ALL DAY,"day-of-week plural, repeated branded name",546,50
thestreetwearexpo,The #1 Streetwear Expo in the Tri-State Area,STREETWEAR EXPO; THE STREETWEAR EXPO; THE STREETWEAR EXPERIENCE; $300 Outfit Contest at Streetwear Expo - Black Market; Streetwear Expo - Black Market,repeated branded name,543,32
njfestivalorchestra,NJ Festival Orchestra,SEASON FINALE; ONE THOUSAND AND ONE NIGHTS; MUSIC FOR A MATADOR GALA; A TOUR OF NOTABLE HOMES; ONE THOUSAND AND ONE NIGHTS LECTURE,"recurrence keyword, repeated branded name",543,26
speakupseries_,Speak Up,SPEAK UP SERIES; Open Mic; Food & Drink Specials; Speak Up Series; End of Year Mic Drop,"recurrence keyword, repeated branded name",543,31
newyorkeatshere,Born Hungry | Won’t Shut Up,STATE OF THE STREET SERIES - PART 1; Marco Shalma's Picks; Lunch at John Brown BBQ; Lunch at Arepa Lady; Lunch at Taqueria Tlaxcalli BX,"recurrence keyword, repeated branded name",523,31
famehospitality,Fame Hospitality,MATRODA AT THE POOL AFTER DARK; Latin Industry Night; Party Under The Dome; Industry Latin Night; Party at Pool After Dark,repeated branded name,519,41
ayalacoffee,Ayala Coffee,ONLINE ORDERING AVAILABLE FRIDAYS; Filipino Coffee Shops Are Pushing Fun Little Coffee Drinks Forward; Corned Beef Breakfast Sandwich; Christmas Pie Pre-Orders; beli TOP 2025 NEW COFFEE & TEA,"day-of-week plural, repeated branded name",515,24
portaasburypark,Porta Asbury Park,Jersey Shore Restaurant Week Lunch and Dinner; Casino Night with @theorchidlegacy; Casino Night; Pizza and a Porta Tree; Daytime Menu,repeated branded name,514,17
secretphiladelphia,Secret Philadelphia,Philly's first-ever outdoor NYE Parkway concert & fireworks spectacular; The Nutcracker; Amtrak's Travel Tuesday Sale; Snow Tubing at Blue Mountain Resort; Dine For a Cause with Rodney McLeod Jr.,repeated branded name,514,21
hjahc,Henry J. Austin Health Center,Bundles of Joy event; World AIDS Day; Hepatitis C Testing and Treatment; Handwashing Awareness Week / Semana de Conciencia sobre el Lavado de Manos; Annual Physical Appointment,repeated branded name,513,47
notophl,NOTO Philadelphia,DEORRO; SAFAERA; S3XY NERDS CITY LIGHTS PHILADELPHIA; Meek Mill & Friends: Official Philly Homecoming Afterparty; Apres Ski: House Music Dance Party,repeated branded name,512,34
networkwhileblack,Network While Black,LOVE JONES: THE POETRY ROOM; NOTEWORTHY BOOK CLUB LAUNCH; MILLENNIAL MIXER; WIND DOWN WEDNESDAYS; Before The Algorithm,"day-of-week plural, repeated branded name",506,36
dineandvibe_,Dine & Vibe • Culture & Community,THE VIBE OUT; Dine & Vibe event; Last event of the year; Dine & Vibe at The Rhythm Room; The Rhythm Room Vol 2,repeated branded name,498,32
trentonsigmas,TrentonSigmas,R&TEA; JAZZ BRUNCH; HALLOWEEN PARTY; XI PI CHAPTER INTEREST MEETING; A MID-SUMMER DREAM,repeated branded name,496,52
littletijuananj,Little Tijuana NJ,Company Holiday Party; Private Dinner; Birthday; Family Event; Brunch,repeated branded name,491,36
cantinamexicana701,Cantina Mexicana Bar-Grill,TACO TUESDAY; HAPPY HOUR; PURO KUMBALERO; KARAOKE NIGHT A THREE KINGS DAY FUNDRAISER; DJ GUEST DJ CRIS CROSS,repeated branded name,488,49
jerseycreatorsmarket,“JERSEY CREATORS MARKET” ★ Community Events,Build-A-Baddie Holiday Edition; Styling and Sip Masterclass; Jersey Creators Club Fashion Show (Past Event); Jersey Creators Club Fashion Show (Future Event); Internship Program,repeated branded name,487,15
clubenvyac,Club Envy,Thanksgiving Eve; G Herbo live at Club Envy AC; Ticket Giveaway Live Drawing; League of Municipalities Honoring NJ's Next Gen of Leaders | Municipal Millenials Mixer; G Herbo,repeated branded name,486,11
djmasterrich,⠀⠀⠀⠀⠀⠀⠀           Richard Hosein,LINK UP FRIDAYS: THE AFRO-CARIBBEAN EXPERIENCE; BUDS & BUBBLY SOCIAL SOIREE; PENN RELAYS KICKOFF - LINK UP FRIDAYS; ISLAND VIBES SEASON OPENER; ISLAND VIBES WEEKLY,"day-of-week plural, recurrence keyword, repeated branded name",485,55
faajinightshq,Faaji Nights,FAAJI NIGHTS 3 YEAR ANNIVERSARY CELEBRATION; FAAJI NIGHTS 3 YEAR ANNIVERSARY; FAAJI NIGHTS 3 YEAR ANNIVERSARY & VALENTINES DAY PARTY; FAAJI NIGHTS WITH DJAMES KICKIT; RETURN OF THE KING OF BLENDS NIGHTS,"day-of-week plural, recurrence keyword, repeated branded name",483,49
myboyvito_,Vitos Way,AFTER BRUNCH SUNDAYS; Friday event with $5 shots; Pre sale bottles last day; House Vibes & R&B; Light Show,"day-of-week plural, repeated branded name",480,9
scarletknightshockey,Rutgers Hockey,Rutgers Hockey vs Fairfield; Rutgers Hockey vs Maritime; Rutgers Hockey vs Penn State; Rutgers Hockey vs Farmingdale; Rutgers Hockey vs Kutztown,repeated branded name,480,1
guiltypleasureparty,Guilty Pleasure,GUILTY PLEASURE PARTY; Guilty Pleasure Party; Thanksgiving Eve Party; Guilty Pleasure Party - Thanksgiving Eve; Guilty Pleasure Recession Party,repeated branded name,480,51
